MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_8701,0.221428,1.114654,1.78786601043911,0.05587402728971,13,4.91636,0.13204,1
ddmof_8702,0.144507,0.652565,1.99300146345575,0.043280947296798,3,5.22753,0.15958,2
ddmof_8703,0.403703,1.843045,1.97137183302632,0.118998946753912,14,5.22378,0.1412,3
ddmof_8704,0.195239,1.014299,1.73237970263206,0.046592437602478,2,7.90091,0.3425,3
ddmof_8705,0.157079,0.67271,2.10151625514709,0.050663122403598,8,9.12111,0.39022,3
ddmof_8706,0.087292,0.489319,1.60555384115475,0.017949406493913,6,7.7626,0.3084,3
ddmof_8707,0.123976,0.708865,1.57404301242126,0.024425329474683,7,8.33404,0.36832,3
ddmof_8708,0.075443,0.461635,1.47083085121362,0.01264143509805,3,8.49045,0.44336,3
ddmof_8709,0.220219,1.009539,1.96324361911724,0.06451848415933,0,11.05285,0.24916,1
ddmof_871,0.129867,0.690243,1.6933210478049,0.02970568753607,19,7.3132,0.32658,3
ddmof_8710,0.188911,0.877026,1.93859589111383,0.054309511045969,3,5.67357,0.19694,3
ddmof_8711,0.157345,0.853534,1.65910789728353,0.034596173744182,3,8.6751,0.4217,3
ddmof_8712,0.152598,0.800799,1.71501462913915,0.035748802161016,4,6.05407,0.2586,3
ddmof_8713,0.089077,0.425766,1.88294274319697,0.024481665615023,3,6.57937,0.26334,3
ddmof_8714,0.08603,0.511305,1.51430163992138,0.015503672141471,5,10.17343,0.56416,3
ddmof_8715,0.293359,1.410946,1.87124879336275,0.079832234478855,6,6.26182,0.26304,3
ddmof_8716,0.230513,1.038243,1.99819984338926,0.069301179503616,6,9.24518,0.49298,3
ddmof_8717,0.100028,0.537031,1.67635015483278,0.022442756102044,4,8.67979,0.47948,3
ddmof_8718,0.221469,1.132949,1.75932102857234,0.054336332557127,5,5.6547,0.23826,3
ddmof_8719,0.069056,0.379132,1.63928130571938,0.014823111145512,4,5.5841,0.1972,3
ddmof_872,0.084291,0.498387,1.52214845090261,0.015379483832639,117,8.84975,0.35774,3
