MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_3335,0.371178,1.433311,1.46747077221901,0.061826919066039,4,10.48727,0.5039,3
ddmof_3336,0.170725,0.712802,1.35723758724957,0.022647674850561,4,8.10081,0.28056,3
ddmof_3337,0.405744,1.724528,1.33324364695731,0.050681289460392,4,8.24727,0.38466,3
ddmof_3338,0.763668,3.07943,1.4052769506045,0.11284105221906,4,5.61681,0.21186,3
ddmof_3339,0.457126,1.872374,1.38347395694806,0.064441503963638,2,13.22891,0.41984,3
ddmof_334,0.509495,2.083779,1.38553000742081,0.072152611336953,19,7.67415,0.32036,3
ddmof_3340,0.755262,2.969292,1.44135975848788,0.119914754906811,4,8.64912,0.33024,3
ddmof_3341,0.301057,1.218627,1.39992767817114,0.043986113655121,4,11.83723,0.53946,3
ddmof_3342,0.278488,1.188356,1.32796793777847,0.034306265460853,4,10.40957,0.54902,3
ddmof_3343,0.327018,1.293484,1.43264392910929,0.051060022745742,4,9.06251,0.5006,3
ddmof_3344,0.541263,2.442806,1.25558763160071,0.053502239430876,4,4.08944,0.06748,1
ddmof_3345,0.228833,0.955787,1.35670430057464,0.030316986151297,4,11.23311,0.55328,3
ddmof_3346,0.283646,1.14832,1.39972075147462,0.041424059300824,4,11.17306,0.55752,3
ddmof_3347,0.353482,1.44562,1.38560940403887,0.050067481116802,4,9.51718,0.5259,3
ddmof_3348,0.494268,1.972028,1.4202901784356,0.075315116471875,4,6.95816,0.28406,3
ddmof_3349,0.440962,1.875217,1.33253093730841,0.054977951919921,4,11.033,0.53282,3
ddmof_335,0.546309,2.321531,1.33349543900125,0.068284000273929,119,11.07103,0.49186,3
ddmof_3350,0.539414,2.019459,1.51361296928204,0.097102525062439,4,9.85102,0.37408,3
ddmof_3351,0.441458,1.745448,1.4332110342636,0.069004363166603,4,9.28035,0.44976,3
ddmof_3352,0.328033,1.336268,1.39107848625176,0.047024066581715,4,10.11274,0.55152,3
ddmof_3353,0.826078,3.423022,1.36753683343743,0.112296244101269,4,8.46161,0.37108,3
ddmof_3354,0.233209,0.912519,1.44820838433684,0.037507250083866,4,8.09487,0.24342,3
ddmof_3355,0.402596,1.585938,1.43850348080022,0.06357430358324,4,6.95143,0.21354,3
ddmof_3356,0.340548,1.427215,1.35212424196775,0.04461744083805,4,10.67078,0.5109,3
ddmof_3357,0.325662,1.35221,1.36474216282974,0.043980851429805,4,7.3235,0.23652,3
ddmof_3358,0.426503,1.813587,1.33263545301843,0.053189770419855,4,8.23866,0.45366,3
ddmof_3359,0.143026,0.446227,1.8162967876589,0.037070453379454,2,19.79911,0.56862,3
ddmof_336,0.704616,2.891813,1.38073381646739,0.098723720685246,121,7.3978,0.23502,3
ddmof_3360,0.334951,1.398844,1.35687443822661,0.044394291988883,4,6.96516,0.25664,3
ddmof_3361,0.402009,1.541772,1.47755374984109,0.068157927836949,4,7.78873,0.26828,3
ddmof_3362,0.440923,1.620253,1.54208241963858,0.082940961168786,4,5.05538,0.12588,2
ddmof_3363,0.272971,1.108966,1.39484498773332,0.039451392051108,4,8.3461,0.49352,3
ddmof_3364,0.388503,1.633482,1.34774487873145,0.050352976480136,4,6.09628,0.15766,3
